Date,Test,RCase_Incd,Pos,CRDeath,CRHosp,Death_Incd_DD,TPC,CPP,Death,Hosp,Case_ma7,Death_ma7,Hosp_ma7,Weekend
2020-05-24,41565,994,1589,2237,9381,36,41.8158953722334,0.6255506607929515,15,43,666.857142857143,31.4285714285714,121.285714285714,TRUE
2020-05-25,20264,518,1006,2252,9424,36,39.11969111969112,0.5149105367793241,7,58,735.285714285714,31.8571428571429,119.571428571429,FALSE
2020-05-26,15854,491,917,2259,9482,24,32.289205702647656,0.5354416575790621,60,157,742.285714285714,30.5714285714286,114.714285714286,FALSE
2020-05-27,21938,624,1156,2319,9639,39,35.157051282051285,0.5397923875432526,45,156,787.285714285714,31,113,FALSE
2020-05-28,40963,1227,2078,2364,9795,40,33.38467807660962,0.5904716073147257,49,159,748.857142857143,29.7142857142857,115.285714285714,FALSE
2020-05-29,16260,769,1354,2413,9954,28,21.144343302990897,0.5679468242245199,34,159,762.142857142857,38.7142857142857,133,FALSE
2020-05-30,30062,888,1550,2447,10113,37,33.8536036036036,0.5729032258064516,7,59,868.714285714286,35.2857142857143,126.571428571429,TRUE
2020-05-31,26773,725,1222,2454,10172,35,36.928275862068965,0.5932896890343698,6,59,965.857142857143,34.7142857142857,122.428571428571,TRUE
2020-06-01,11304,611,889,2460,10231,30,18.500818330605565,0.6872890888638921,70,182,940,35.2857142857143,120,FALSE
2020-06-02,28689,1237,1998,2530,10413,41,23.192400970088926,0.6191191191191191,36,112,1011.42857142857,34.4285714285714,111.142857142857,FALSE
2020-06-03,38220,1304,2037,2566,10525,38,29.309815950920246,0.6401570937653411,41,127,1089.28571428571,35.1428571428571,110,FALSE
2020-06-04,32472,1046,1710,2607,10652,26,31.043977055449332,0.6116959064327485,53,142,1137.28571428571,36,111,FALSE
2020-06-05,41034,1269,1901,2660,10794,31,32.335697399527184,0.6675433982114677,28,97,1215.42857142857,33.5714285714286,110.285714285714,FALSE
2020-06-06,57082,1433,2132,2688,10891,32,39.83391486392184,0.6721388367729831,12,51,1217.57142857143,33.5714285714286,117.142857142857,TRUE
2020-06-07,27939,1061,1521,2700,10942,27,26.332704995287465,0.6975673898750822,12,66,1270.85714285714,34.4285714285714,131.285714285714,TRUE
2020-06-08,32665,1158,1815,2712,11008,24,28.20811744386874,0.6380165289256199,53,177,1359,31,130.285714285714,FALSE
2020-06-09,23841,1252,1802,2765,11185,33,19.042332268370608,0.6947835738068813,36,160,1516.57142857143,33.8571428571429,140.428571428571,FALSE
2020-06-10,31426,1677,2309,2801,11345,27,18.739415623136555,0.7262884365526202,47,226,1621.85714285714,33,142.857142857143,FALSE
2020-06-11,34567,1663,2296,2848,11571,29,20.785929043896573,0.7243031358885017,29,135,1728.42857142857,32.2857142857143,143.857142857143,FALSE
2020-06-12,39815,2372,3512,2877,11706,34,16.785413153456997,0.6753986332574032,48,168,1959.57142857143,32.5714285714286,145.857142857143,FALSE
2020-06-13,50406,2170,2707,2925,11874,24,23.228571428571428,0.8016254155892132,6,68,2133.85714285714,31,149.142857142857,TRUE
2020-06-14,34324,1807,2305,2931,11942,28,18.99501936912009,0.7839479392624729,7,73,2282,30.4285714285714,143.714285714286,TRUE
2020-06-15,39340,2776,3863,2938,12015,28,14.171469740634006,0.7186124773492104,55,191,2519.71428571429,32.4285714285714,152.571428571429,FALSE
2020-06-16,25233,2472,3160,2993,12206,38,10.20752427184466,0.7822784810126582,25,183,2761,31.2857142857143,152.142857142857,FALSE
2020-06-17,32305,2714,3467,3018,12389,31,11.903095062638172,0.7828093452552639,43,188,3118.28571428571,32.8571428571429,156.428571428571,FALSE
2020-06-18,34834,3327,4066,3061,12577,27,10.47009317703637,0.8182488932611903,43,197,3257.14285714286,33.5714285714286,157.714285714286,FALSE
2020-06-19,34392,4061,4847,3104,12774,19,8.468850036936715,0.8378378378378378,40,165,3412.28571428571,34.8571428571429,158.857142857143,FALSE
2020-06-20,41028,4671,5576,3144,12939,32,8.783558124598587,0.8376972740315638,17,98,3844.71428571429,37.5714285714286,169.285714285714,TRUE
2020-06-21,37169,2779,3338,3161,13037,30,13.374955019791292,0.8325344517675255,12,82,4175.28571428571,38,171.142857142857,TRUE
2020-06-22,37402,3862,4933,3173,13119,38,9.684619368203004,0.7828907358605312,64,199,4976.14285714286,37.4285714285714,173.285714285714,FALSE
2020-06-23,36339,5499,6697,3237,13318,31,6.608292416803055,0.8211139316111692,44,256,5772.57142857143,35.1428571428571,171,FALSE
2020-06-24,59202,5028,5932,3281,13574,18,11.774463007159904,0.8476062036412677,46,201,6330.57142857143,36.8571428571429,172.428571428571,FALSE
2020-06-25,71433,8933,10528,3327,13775,25,7.996529721258256,0.8484992401215805,39,212,6706.28571428571,39.1428571428571,176.428571428571,FALSE
2020-06-26,78345,9636,11254,3366,13987,13,8.130448318804483,0.8562288963923939,24,149,7013.42857142857,38.2857142857143,180.285714285714,FALSE
2020-06-27,72195,8577,10088,3390,14136,13,8.41727876880028,0.850218080888184,29,108,7165.42857142857,38.4285714285714,178.714285714286,TRUE
2020-06-28,41626,5409,6540,3419,14244,3,7.695692364577556,0.8270642201834862,28,110,7812.57142857143,41.4285714285714,196.428571428571,TRUE
2020-06-29,43446,6012,7308,3447,14354,NA,7.226546906187624,0.8226600985221675,58,226,NA,NA,NA,FALSE
2020-06-30,45366,6563,7520,3505,14580,NA,6.912387627609325,0.8727393617021276,45,245,NA,NA,NA,FALSE
2020-07-01,68821,9558,11550,3550,14825,NA,7.200355722954593,0.8275324675324676,67,325,NA,NA,NA,FALSE
2020-07-02,NA,NA,NA,3617,15150,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
